identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
archives/22,0,Abbotsleigh,Archivist,"1666 Pacific Highway, Wahroonga 2076

Postal address:
Locked Bag 1666, Wahroonga 2076",(02) 9473-7777,gleavesj@abbotsleigh.nsw.edu.au,(02) 9473-7680,http://www.abbotsleigh.nsw.edu.au/,,Officer in charge: Archivist,"Continuing acquisition of material relating to the School, its current and ex students and staff; with some material relating to the local areas of Wahroonga, Ku-Ring-Gai.","Secretary's Office: Student records 1913- (10m). Council: Minutes 1924 (3m).

Quantity: 50m (100% in-house).",,"Abbotsleigh Archives is open Monday to Thursday 8am-4pm throughout the year, including school holidays. General reference assistance available. Copying services available for books, journals, photographs and original records to A3.","Access to Abbotsleigh Archives is by appointment only, with advance notice stating the purpose of the research.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/490,0,ACT Heritage Library,Librarian,"Level 1, Woden Library, Corner Furzer & Corinna Sts, Woden ACT 2606

Postal address:
As above",(02) 6207-5163,act.heritage.library@act.gov.au,(02) 6207-5835,,,,"The ACT Heritage Library collects the documentary heritage of the Australian Capital Territory (Canberra) and Region. The collection includes: books, magazines, newspapers, photographs, manuscripts.",Quantity: 550 shelves.,,"Open Mon-Fri 10am-5 pm, Sat 10am-2pm (1st Saturday of each month). Photocopying facilities are available.","A small selection of material is available for loan from the ACT Heritage Library under the ACT Public Library lending conditions. However, most material is not for loan and may only be viewed at the ACT Heritage Library during opening hours. Some manuscript collections are subject to access restrictions. Clients wishing to view a manuscript collection may need permission from the donor. Material is kept in a variety of formats, both print and non-print. Material available in microfilm format may be viewed with the microfilm reader. A microform reader / printer is also available. Inter Library Loans are possible for published material and small local lending collections. The ACT Heritage Library is accessible for disabled users.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/265,0,Adelaide Catholic Archives,Archivist,"39 Wakefield Street, Adelaide 5000

Postal address:
GPO Box 1364, Adelaide 5001",(08) 8210-8115,archives@adelaide.catholic.org.au,(08) 8223-2307,http://www.adelaide.catholic.org.au/Services/Archives/default.htm,,Officer in charge: Archivist,"The administrative papers generated by the church through successive bishops and archbishops of Adelaide, parishes, diocesan offices and church agencies. The archives also accepts significant collections from Church affiliated organisations or individuals within the archdiocese.","Bishops' and Archbishops papers: 1840 - ;
	
	
	Clergy Papers 1840-;
	
	
	Baptism, marriage, burial records 1840 -1920 (microfiche and some hard copy);
	
	
	Religious congregations 1860 - ;
	
	
	Southern Cross Newspaper: 1867- ;
	
	
	L'Osservatore Roman, newspaper [English edition]: 1968 -;
	
	
	Morrison Index [Index to early papers]: 1836 -1950; 
	
	
	Catholic Lay Associations;
	
	
	St Francis Xavier Seminary records: 1942 - 2000 [Seminary handbooks; administration; photographs; memorabilia]",,"Open Mon - Fri 9am - 4.30pm; closed Fridays and Public Holidays. General reference and historical services available. Copying services for books, journals and photographs to A3. Note: Original documents and newspapers may not be photocopied",All visits by prior appointment. Access and research fees apply. Closed periods apply to certain classes of records.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/274,0,Adelaide City Council Archives,Archives Access Officer,"Topham Mall, off 56 Waymouth Street, Adelaide 5000

Postal address:
GPO Box 2252, Adelaide, 5001",(08) 8203-7439,cityarchives@adelaidecitycouncil.com,(08) 8203-7336,http://www.adelaidecitycouncil.com/archives,,"Officer in charge: Manager - Records and Archives

Note: Formerly listed as Adelaide City Archives.",Archives of the Council and Corporation of the City of Adelaide 1840 - ; City of Adelaide Civic Collection c1810 - ; City of Adelaide Oral History Collection 1978 - 2000.,"Minutes and Reports of Council, 1872- . City Treasurer's Dept: Assessment Books, 1846- . Town Clerk's Dept: Dockets and Files, c1865-1976. City of Adelaide Building Plans, 1925- . City Engineer's Dept: Dockets and Files. 1902-1970. Photographic Collections, 1860- . Colonel William Light Collection c1810-1839 Queen Adelaide Collection c1830s

Quantity: 4,000 m (ACA Australian Archival Statistics, 1998)

References: Peter Crush, 'The Records of the Corporation of the City of Adelaide' ASA Conference Proceedings 1981. Karen George, City Memory. A Guide and Index to the City of Adelaide Oral History Collection Corporation of the City of Adelaide, 1999. Robert Thornton, ‘The Records of the Town Clerk’s Department’, Community History, vol.8, no.3, July 1998. Robert Thornton, ‘Rose – Tinted Images. The Photographic Archives of the City of Adelaide’, Archives and Manuscripts, Dec 2000. Robert Thornton, ‘City of Archives – reflecting on the 25th anniversary of the Adelaide City Archives’, Australian Society of Archivists Bulletin, No.4, October 2003. News Notes, Archives and Manuscripts, passim.",Guide to services and holdings Guide to Town Clerk’s Department Records Guide to City Engineer’s Department Records Civic Collection Guide Preservation Management – a Guide to Conservation Guide to the Oral History Collection City Archives Source Sheets (42),Search Room open Mon to Fri 9am-5pm. Reference services. Document search assistance. Private research interview room. Copying and framing services. A range of brochures and source sheets. Electronic and manual finding aids. PC access to archival databases. Microfilm readers.,Researchers are required to read the Search Room Rules set out in the Notice to Users and sign the Visitors Book. Advance notice of visit preferred.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/2,0,Adolph Basser Library,Librarian,"Gordon Street, Acton 2601

Postal address:
GPO Box 783, Canberra 2601",(02) 6247-9024,Rosanne.Walker@science.org.au,(02) 6257-4620,http://www.science.org.au/academy/basser/bass_lis.htm,,Officer in charge: Librarian,History of science in Australia. The Library collects personal papers of prominent Australian scientists and records of scientific societies.,"Rivett, A C D: Papers 1907-1961 (4.4m). 
	Gilruth, J A: Papers 1890-1954 (0.16m). 
	Geological Society of Australia: Records 1953-(10m). 
	Australian Institute of Physics: Records 1923- (14.5m). 
	Australian Society for Parasitology: Records 1964- (10.4m). 
	Swan, J M: Papers 1943-1985 (7.2m). 
	Fenner, F J: Papers 1920- (5.75m). 
	Tate, R: Papers 1863-1894 (0.05m). 
	Wark, I W: Papers 1909-1985 (6.25m). 
	Titterton, E W: Papers 1937-1986 (17m). 
	Fairley, N H: Papers 1916-1971 (6.1m).

Quantity: 230m (35% in-house).

References: Clayton, Rosanne, 'Basser Library Manuscripts listed recently' Historical Records of Australian Science 6(3)(Dec 1986): 423-5. 
	Clayton, Rosanne, 'The Adolph Basser Library' Group for Scientific and Technological Collections Newsletter 4 (March 1988): 3-4. 
	Clayton, Rosanne, 'Adolph Basser Library, Australian Academy of Science' editors Biskup, P and Goodman, D Resources for Australian studies in the Australian Capital Territory, Canberra College of Advanced Education, 1988:173-193. 
	Clayton, Rosanne, 'Basser Library manuscripts listed 1987-1988' Historical Records of Australian Science 7/4 (June 1989): 431-5. 
	Clayton, Rosanne and McCarthy, Gavan 'The records of E.W. Titterton, nuclear physicist' Archives and Manuscripts 20/1 (May 1992): 41-50.","Entries in National Library of Australia Guide to Collections of Manuscripts Relating to Australia. 
	Guides produced by Australian Science Archives Project for Walter Geoffrey Duffield, Ronald Gordon Giovanelli, Andrew Crowther Hurley, Armin Aleksander Opik, Albert George Lloyd Rees, Ian William Wark. 
	King, Bill & McCarthy, Gavan, The records of Albert Cherbury David Rivett (1885-1961) and British Association for the Advancement of Science Australian meeting 1914 ASAP, 1988.","Open Mon-Wed 9am-5:30pm; closed Public Holidays. General reference assistance available. Copying services for books, journals, original records to A3, microfilms and photographs at cost.",Advance notice of visit is advisable.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/157,0,Adventist Heritage Centre,Ms R Power,"via Avondale College Library, 582 Freemans Drive, Cooranbong 2265

Postal address:
PO Box 19, Cooranbong 2265",(02) 4980-2313,heritage@avondale.edu.au,(02) 4980-2137,http://www.avondale.edu.au/,,"Officer in charge: Ms R Power

Note: Previously known as Avondale College Heritage Room","We aim to collect, preserve, research and exhibit the heritage and development of the Seventh-day Adventist Church and its subsidiaries within Australia, New Zealand and the Pacific Islands. Extensive photographic collection, particularly Pacific Islands missions.","Photographs, films, published monographs and serials, minutes and other records, personal papers and memorabilia relating to Australasian Missionary College, Avondale College, and the South Pacific Division of the Seventh-day Adventist church - schools, missions, churches, medical work, publishing houses, etc.",,"Open Thursday 9am-12pm, 1pm-5pm. Closed weekends and public holidays. Reference assistance available in person or by mail. Copying services available for most material.",Advance notice of each visit is required. Contact as above or via heritage@avondale.edu.au. Closed period applying to records varies with categories. Access to records not normally available for research can be granted to approved applications.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/400,0,Albany Historical Society Archives,Archivist,"c/- Albany History Collection, Albany Public Library, 221 York Street, Albany WA

Postal address:
PO Box 411, Albany 6331",(08) 9841-9327,history@albany.wa.gov.au,,www.library.albany.wa.gov.au,,Officer in charge: Archivist,History of Albany and district and its residents. (5% in-house).,,,"Mon. - Fri. 9.30 am - 5.00 pm (closed 12.30 - 1.30). Reference assistance available in person and by phone, email & mail. Copying services available for original records to A3 and photographs.","Photographic and pictorial collection housed at the Albany Co-operative Store Museum, 44 Frederick Street, Albany, postal address as above. It is administered by the Curator, who can be contacted in person or by phone (08) 9841-5403, on Tues, Wed, Thurs.",,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/196,0,Albury City Library,Adult Services Librarian,"Swift Street, Albury 2640

Postal address:
PO Box 368, Albury 2640",(02) 6023-8199,n203300@ilanet.slnsw.gov.au,(02) 6041-2747,,,Officer in charge: Adult Services Librarian,Relating mainly to local history of Albury Region.,,,Open Mon-Fri 9:30am-7pm; Saturdays 9:30am-12pm; Closed Sat afternoon and Sun. Reference assistance available in person. General copying services available.,,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/517,0,Alfred Hospital Archives,"Archivist, Ben O'Loughlin b.o'loughlin@alfred.org.au","Alfred Archives, The Alfred, Commercial Road, Melbourne 3004

Postal address:
As above",(03) 9276-2022,heritage@alfred.org.au,(03) 9276-2424,,,"Officer in charge: Archivist, Ben O'Loughlin","Materials relating to The Alfred, its departments and personnel. Alfred Archives also collects artefacts relating to the provision of healthcare in Victoria since 1870.",Quantity: 100m,,"Staffed two days per week, usually Mondays and Wednesdays. Museum room by appointment only.",Mediated research only. Access in accordance with Bayside Health Privacy Policy and the conditions stated within the Access Application form.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/207,0,Alice Springs Collection,Jane Bowland and Mandy Treloar,"Corner Leichhardt and Gregory Terrace, Alice Springs 0870

Postal address:
PO Box 1071, Alice Springs 0871",(08) 8950-0555,,(08) 8952-2402,,,Officer in charge: Jane Bowland and Mandy Treloar,Focus is on materials published or produced in the Alice Springs area. This area ranges from Pt Augusta to Tennant Creek and to the N.T. borders east and west of Alice Springs.,Robert Laver: Photographs 1921-1925 (1m). Old Timer's Museum: Photographs 1900 - 1970s (1m).,,"Open Mon, Tues and Thurs 10-6, Wed and Fri 10-5, Sat 9-1, Sun 1-5.; closed public holidays. General reference assistance available. Copying services available for books, journals, original records to A3 and newspapers.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
